Time,Height,Speed,Precision
0.02,2.2,3.22,100.0
0.03,2.2,3.22,100.0
0.03,2.2,3.22,100.0
0.03,2.2,3.22,100.0
0.03,2.2,3.22,100.0
0.04,2.2,3.36,100.0
0.04,2.2,3.36,100.0
0.04,2.2,3.36,100.0
0.05,2.2,3.36,100.0
0.05,2.2,3.36,100.0
0.05,2.2,3.36,100.0
0.06,2.2,3.50,100.0
0.06,2.2,3.50,100.0
0.06,2.2,3.50,100.0
0.06,2.2,3.50,100.0
0.07,2.2,3.50,100.0
0.07,2.2,3.50,100.0
0.07,2.2,3.50,100.0
0.07,2.2,3.50,100.0
0.07,2.2,3.50,100.0
0.08,2.2,3.63,100.0
0.08,2.2,3.63,100.0
0.08,2.2,3.63,100.0
0.08,2.2,3.63,100.0
0.09,2.2,3.63,100.0
0.09,2.2,3.63,100.0
0.09,2.2,3.63,100.0
0.10,2.2,3.75,100.0
0.10,2.2,3.75,100.0
0.10,2.2,3.75,100.0
0.10,2.2,3.75,100.0
0.11,2.2,3.75,100.0
0.11,2.2,3.75,100.0
0.11,2.2,3.75,100.0
0.11,2.2,3.75,100.0
0.12,2.2,3.87,100.0
0.12,2.2,3.87,100.0
0.12,2.2,3.87,100.0
0.12,2.2,3.87,100.0
0.13,2.2,3.87,100.0
0.13,2.2,3.87,100.0
0.13,2.2,3.87,100.0
0.13,2.2,3.87,100.0
0.14,2.2,3.98,100.0
0.14,2.2,3.98,100.0
0.14,2.2,3.98,100.0
0.15,2.2,3.98,100.0
0.15,2.2,3.98,100.0
0.15,2.2,3.98,100.0
0.16,2.2,4.09,100.0
0.16,2.2,4.09,100.0
0.16,2.2,4.09,100.0
0.16,2.2,4.09,100.0
0.17,2.2,4.09,100.0
0.17,2.2,4.09,100.0
0.17,2.2,4.09,100.0
0.18,2.2,4.20,100.0
0.18,2.2,4.20,100.0
0.18,2.2,4.20,100.0
0.19,2.2,4.20,100.0
0.19,2.2,4.20,100.0
0.19,2.2,4.20,100.0
0.20,2.2,4.30,100.0
0.20,2.2,4.30,100.0
0.20,2.2,4.30,100.0
0.20,2.2,4.30,100.0
0.21,2.2,4.30,100.0
0.21,2.2,4.30,100.0
0.21,2.2,4.30,100.0
0.21,2.2,4.30,100.0
0.22,2.2,4.40,100.0
0.22,2.2,4.40,100.0
0.22,2.2,4.40,100.0
0.23,2.2,4.40,100.0
0.23,2.2,4.40,100.0
0.23,2.2,4.40,100.0
0.23,2.2,4.40,100.0
0.23,2.2,4.40,100.0
0.24,2.2,4.49,100.0
0.24,2.2,4.49,100.0
0.24,2.2,4.49,100.0
0.24,2.2,4.49,100.0
0.25,2.2,4.49,100.0
0.25,2.2,4.49,100.0
0.25,2.2,4.49,100.0
0.25,2.2,4.49,100.0
0.26,2.2,4.58,100.0
0.26,2.2,4.58,100.0
0.26,2.2,4.58,100.0
0.27,2.2,4.58,100.0
0.27,2.2,4.58,100.0
0.27,2.2,4.58,100.0
0.27,2.2,4.58,100.0
0.28,2.2,4.66,100.0
0.28,2.2,4.66,100.0
0.28,2.2,4.66,100.0
0.29,2.2,4.66,100.0
0.29,2.2,4.66,100.0
0.29,2.2,4.66,100.0
0.29,2.2,4.66,100.0
0.30,2.2,4.75,100.0
0.30,2.2,4.75,100.0
0.30,2.2,4.75,100.0
0.31,2.2,4.75,100.0
0.31,2.2,4.75,100.0
0.31,2.2,4.75,100.0
